time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.18,-0.000980271,-0.139367401,0.069731423,27.5,2476,6.43E-06,0.000996237,-0.000896193,-0.000409361,0.001988026,-0.000618283
0.182,-0.000448886,-0.149848283,0.085659802,27.5,2477,1.03E-05,0.00069245,-0.000730561,-0.000411321,0.001709291,-0.00047882
0.184,0.000613886,-0.16085321,0.094685883,27.5,2478,1.63E-05,0.000366654,-0.000546877,-0.000412219,0.001409595,-0.0003075
0.186,-0.000448886,-0.163997474,0.109021425,27.5,2479,2.02E-05,3.46E-05,-0.000334523,-0.000410991,0.001087888,-0.000118129
0.188,-0.000448886,-0.166093651,0.118047506,27.5,2480,2.40E-05,-0.000301708,-0.000104116,-0.000411889,0.000759894,9.99142E-05
0.19,-0.005231356,-0.161901298,0.12813548,27.5,2481,1.83E-05,-0.0006296,0.000146468,-0.000412787,0.000427706,0.000336009
0.192,-0.001511657,-0.152992548,0.131852102,27.5,2482,2.01E-05,-0.000939675,0.000404484,-0.000423249,0.000103904,0.00059228
0.194,0.000613886,-0.133078872,0.133975885,27.5,2483,2.61E-05,-0.001209923,0.000666748,-0.000426273,-0.000202081,0.000855984
0.196,0.000613886,-0.11630946,0.13079021,27.5,2484,3.21E-05,-0.001446631,0.00092264,-0.000425045,-0.000468239,0.001123936
0.198,0.00486497,-0.094823651,0.116985614,27.5,2485,4.65E-05,-0.001640368,0.001150923,-0.000423817,-0.000700858,0.001385517
0.2,0.003270813,-0.07176571,0.097340613,27.5,2486,0.000057853,-0.00178799,0.001339917,-0.000414087,-0.000890505,0.001619488
0.202,0.003270813,-0.049231813,0.075571828,27.5,2487,6.92E-05,-0.001890543,0.001485372,-0.000407546,-0.001034037,0.001814169
0.204,-0.000448886,-0.025649828,0.052210205,27.5,2488,7.30E-05,-0.001945933,0.001584105,-0.000401004,-0.0011325,0.001965313
0.206,-0.003105813,-0.001019755,0.020353447,27.5,2489,0.000071578,-0.001952062,0.001619124,-0.000401902,-0.0011838,0.002069733
0.208,0.001676657,0.021514142,-0.011503311,27.5,2490,7.97E-05,-0.001913123,0.00159043,-0.000408113,-0.00118584,0.00211044
0.21,-0.006294127,0.045620171,-0.048138584,27.5,2491,0.000071882,-0.001825973,0.001488465,-0.00040476,-0.001142811,0.002087433
0.212,-0.002043042,0.0697262,-0.076809666,27.5,2492,7.26E-05,-0.00169061,0.001329158,-0.000417348,-0.001051571,0.001991156
0.214,0.001145271,0.089115833,-0.104949803,27.5,2493,0.000079632,-0.001516467,0.001113571,-0.000421434,-0.000912119,0.001837537
0.216,-0.000980271,0.106409288,-0.124594804,27.5,2494,8.24E-05,-0.001307738,0.000858693,-0.000419144,-0.000733887,0.001627637
0.218,0.003802199,0.125798921,-0.137868453,27.5,2495,9.48E-05,-0.00106023,0.000577269,-0.000421104,-0.000521068,0.001378448
0.22,-0.00469997,0.133659582,-0.148487373,27.5,2496,9.02E-05,-0.000797,0.000274607,-0.0004135,-0.000269471,0.001102711
0.222,-0.004168585,0.144140465,-0.144239805,27.5,2497,8.66E-05,-0.000512808,-0.00001956,-0.0004229,-2.15138E-06,0.000805736
0.224,-0.002043042,0.150428994,-0.143177913,27.5,2498,8.73E-05,-0.000216039,-0.000311603,-0.000431237,0.00028613,0.000517256
0.226,0.0000825,0.155145391,-0.133089939,27.5,2499,9.22E-05,9.02E-05,-0.000583471,-0.000435323,0.000586988,0.000230901
0.228,-0.002043042,0.1588137,-0.11716156,27.5,2500,9.29E-05,0.0004037,-0.000823481,-0.000435158,0.000897278,-3.52793E-05
0.23,-0.003637199,0.153573259,-0.099640343,27.5,2501,9.04E-05,0.000706757,-0.001028449,-0.000439244,0.001214906,-0.000269602
0.232,-0.000448886,0.147284729,-0.076809666,27.5,2502,9.43E-05,0.000997237,-0.001187756,-0.000446519,0.001522052,-0.000468883
0.234,-0.002043042,0.135755759,-0.060881287,27.5,2503,9.50E-05,0.001264659,-0.001315206,-0.000447417,0.001816622,-0.000622502
0.236,-0.000448886,0.116366127,-0.041767232,27.5,2504,9.88E-05,0.001493302,-0.001404428,-0.000451503,0.002088133,-0.000744265
0.238,-0.000980271,0.103789068,-0.026900745,27.5,2505,0.000101634,0.001696791,-0.001463916,-0.0004524,0.002320865,-0.0008278
0.24,-0.002043042,0.081779215,-0.008848582,27.5,2506,0.000102314,0.001856259,-0.001487301,-0.000454361,0.002528444,-0.000881601
0.242,-0.003637199,0.055052965,0.00283223,27.5,2507,9.98E-05,0.001962276,-0.001487324,-0.000458447,0.002692002,-0.000899298
0.244,-0.002574428,0.026230539,0.01079642,27.5,2508,9.94E-05,0.002010647,-0.001471419,-0.000465721,0.002802108,-0.000893634
0.246,-0.003637199,-0.008356373,0.021946285,27.5,2509,9.69E-05,0.001989845,-0.001433215,-0.00047087,0.002854569,-0.000872041
0.248,-0.007356898,-0.04241924,0.027786691,27.5,2510,8.70E-05,0.001900916,-0.001383329,-0.000478145,0.002837856,-0.000828148
0.25,-0.007356898,-0.071241666,0.036281826,27.5,2511,7.70E-05,0.001754343,-0.001316453,-0.000492858,0.002753018,-0.000772575
0.252,-0.006825512,-0.100064092,0.042122232,27.5,2512,6.81E-05,0.001550125,-0.001237897,-0.000507572,0.002610534,-0.000700011
0.254,-0.005231356,-0.126266298,0.054864935,27.5,2513,0.000062457,0.001293503,-0.001133855,-0.000521223,0.002410406,-0.000615767
0.256,-0.006294127,-0.150372327,0.059643449,27.5,2514,5.46E-05,0.000988668,-0.001020257,-0.000531686,0.002157874,-0.000506037
0.258,-0.000980271,-0.158232989,0.078757504,27.5,2515,5.74E-05,0.000668112,-0.00086843,-0.000544274,0.001857129,-0.00038675
