x_angle_1,y_angle_1,z_angle_1
0.502,-6.8157700000000006,-3.4613
0.48755000000000004,-6.43687,-3.28101
0.516,-5.82738,-2.8352500000000003
0.544,-5.17598,-2.17711
0.5720000000000001,-4.4302399999999995,-1.2641200000000001
0.589,-3.7159500000000003,-0.351
0.5640000000000001,-3.10647,0.5619999999999999
0.47500000000000003,-2.39217,1.40053
0.471,-1.68836,2.05867
0.521,-0.9950000000000001,2.47258
0.623,-0.22799999999999998,2.6740999999999997
0.598,0.2449,2.45087
0.626,0.624,1.7604099999999998
0.6219999999999999,0.86646,0.7729999999999999
0.512,1.08815,-0.523
0.41300000000000003,1.226,-2.04186
0.335,1.46865,-3.6349299999999998
0.32,1.78467,-5.196149999999999
0.306,2.07973,-6.69365
0.33399999999999996,2.49008,-7.96815
0.351,2.98428,-9.01966
0.40099999999999997,3.45751,-9.77384
0.397,3.98315,-10.22006
0.48900000000000005,4.50878,-10.43268
0.591,5.1077900000000005,-10.33734
0.6619999999999999,5.74871,-9.97653
0.69,6.27435,-9.35025
0.739,6.59037,-8.55406
0.81,6.6338799999999996,-7.63045
0.8160000000000001,6.467779999999999,-6.5900300000000005
0.898,6.06062,-5.5496099999999995
0.883,5.4124,-4.53043
0.869,4.55455,-3.53248
0.9179999999999999,3.45565,-2.5133
0.9359999999999999,2.1681,-1.6534000000000002
0.953,0.734,-0.836
0.928,-0.7210000000000001,-0.0292
0.9129999999999999,-2.19766,0.735
0.899,-3.69483,1.5207099999999998
0.9164599999999999,-5.0872,2.27442
0.998,-6.2385,3.11308
1.0150899999999998,-7.21163,3.77121
1.04315,-7.99611,4.3444
1.07121,-8.4976,4.82202
1.09928,-8.60081,5.02354
1.08483,-8.42104,5.08702
1.05977,-8.0631,4.88503
1.08784,-7.4641,4.50252
1.04152,-6.634510000000001,3.87577
1.00583,-5.700119999999999,2.9729300000000003
1.00203,-4.52467,1.90019
0.98759,-3.18152,0.658
0.94127,-1.89077,-0.755
0.916,-0.6,-2.2631300000000003
0.7949999999999999,0.659,-3.9199100000000002
0.696,1.7928,-5.544840000000001
0.5750000000000001,2.90537,-7.021100000000001
0.529,3.9655400000000003,-8.30622
0.546,4.99426,-9.35773
0.574,5.92865,-10.271180000000001
0.624,6.74775,-10.88731
0.6940000000000001,7.31531,-11.32292
0.7220000000000001,7.68374,-11.60987
0.772,7.85302,-11.567630000000001
0.7889999999999999,7.8441399999999994,-11.34486
0.80661,7.52082,-10.98405
0.792,7.06125,-10.4852
0.81,6.40255,-9.7952
0.87,5.62856,-9.02026
0.94,4.6239799999999995,-8.05417
1.02138,3.49364,-6.98189
1.0175699999999999,2.1117600000000003,-5.899
0.982,0.646,-4.8267299999999995
0.893,-0.9349999999999999,-3.6695
0.9,-2.5265,-2.42732
0.8220000000000001,-4.20185,-1.25948
0.79655,-5.75143,-0.059800000000000006
0.793,-7.21716,1.11869
0.768,-8.49424,2.27592
0.859,-9.51978,3.33757
0.89813,-10.220400000000001,4.37799
0.926,-10.67997,5.14232
0.9440000000000001,-10.877510000000001,5.70489
0.9079100000000001,-10.760629999999999,5.93827
0.968,-10.2874,5.86371
0.922,-9.61503,5.36439
0.865,-8.64919,4.56773
0.818,-7.37941,3.5480899999999997
0.825,-5.900010000000001,2.24173
0.747,-4.19003,0.797
0.775,-2.2704400000000002,-0.828
0.7499999999999999,-0.194,-2.66491
0.682,1.80982,-4.56592
0.615,3.88663,-6.5094199999999995
0.526,5.75382,-8.3892
0.48000000000000004,7.42188,-10.07784
0.391,8.86983,-11.501009999999999
0.35500000000000004,10.034799999999999,-12.61623
0.298,10.83294,-13.35978
0.294,11.369060000000001,-13.6892
0.45,11.74797,-13.668199999999999
0.457,11.718119999999999,-13.32863
0.495,11.352879999999999,-12.681109999999999
0.5339999999999999,10.57889,-11.71502
0.5515,9.343729999999999,-10.41975
0.41000000000000003,7.877999999999999,-8.975810000000001
0.33099999999999996,6.22361,-7.33011
0.434,4.40153,-5.6207
0.526,2.4432,-3.9537600000000004
0.543,0.37,-2.2762100000000003
0.6559999999999999,-1.6726100000000002,-0.6940000000000001
0.6739999999999999,-3.75671,0.824
0.68,-5.79889,2.14055
0.655,-7.62097,3.20221
0.652,-9.170549999999999,4.05149
0.563,-10.42666,4.560960000000001
0.5482400000000001,-11.41027,4.85806
0.566,-12.15282,4.88968
0.647,-12.68576,4.79387
0.59,-12.904259999999999,4.46445
0.5539999999999999,-12.75593,4.01823
0.519,-12.146450000000002,3.37024
0.525,-11.159650000000001,2.5523499999999997
0.5750000000000001,-9.701220000000001,1.57518
0.61345,-7.9493100000000005,0.524
0.535,-6.06116,-0.613
0.48900000000000005,-4.04724,-1.70677
0.43199,-1.89706,-2.77951
0.40692,0.264,-3.89473
0.40299999999999997,2.55002,-5.03118
0.506,4.82597,-6.08269
0.5339999999999999,6.818930000000001,-7.18729
0.5509999999999999,8.49746,-8.26003
0.6,9.798689999999999,-9.25844
0.565,10.71212,-10.16128
0.497,11.2692,-10.96855
0.39799999999999996,11.501370000000001,-11.75459
0.298,11.46104,-12.45567
0.273,11.14821,-12.87004
0.32199999999999995,10.57335,-13.19946
0.36100000000000004,9.757439999999999,-13.12536
0.37799999999999995,8.6795,-12.79641
0.428,7.35002,-12.180750000000002
0.424,5.91573,-11.28899
0.36704,4.41856,-10.11053
0.353,2.8375399999999997,-8.66659
0.306,1.29844,-7.14832
0.28099999999999997,-0.24065999999999999,-5.30086
0.24600000000000002,-1.6225500000000002,-3.3366
0.29483,-2.9205799999999997,-1.36171
0.27999999999999997,-4.11381,0.603
0.255,-5.12886,2.41816
0.283,-5.92382,3.96829
0.301,-6.53012,5.16799
0.297,-6.9268,5.964180000000001
0.229,-7.05098,6.47365
0.119,-6.90265,6.568989999999999
0.105,-6.5551900000000005,6.44133
0.15415,-5.95619,5.9526200000000005
0.17200000000000001,-5.210450000000001,5.15597
0.147,-4.37039,4.14694
0.1321,-3.40455,2.9467700000000003
0.08579999999999999,-2.4701600000000004,1.65103
0.060700000000000004,-1.4624000000000001,0.35500000000000004
0.0994,-0.528,-0.856
0.0425,0.323,-2.14063
0.049300000000000004,1.06827,-3.31956
0.09859,1.64631,-4.36045
0.10540000000000001,2.05666,-5.25267
0.10200000000000001,2.35172,-6.1449
0.23600000000000002,2.53149,-6.87784
0.28500000000000003,2.6588499999999997,-7.52582
0.26016999999999996,2.68141,-8.03577
0.278,2.60963,-8.46076
0.306,2.55882,-8.80079
0.249,2.56042,-9.01341
0.21302000000000001,2.5410500000000003,-9.10921
0.209,2.60553,-8.98202
